index,name,price,number_of_comment,brand,size,type,weight(kg),comment
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,Máy đẹp giặt êm giao hàng nhanh cám ơn nhà bán hàng rất nhiều
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,lắp đặt đúng giờ nhân viên giao hàng nhiệt tình vui vẻ 
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,Nhưng Tiki hỗ trợ giao hàng ngay sau khi đặt hàng Tiki Trading
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,Đơn hàng này mình chưa nhận dc hàng ah Check giúp mình
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,Dịch vụ ok  giao hàng nhanh   Cảm giác máy hơi ồn
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,Giao hàng nhanh nhân viên lắp đặt rất nhiệt tình
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,giao hàng nhanh máy đẹp rất hài lòng
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,Ok Nhân viên cty Gia Khang nhiệt tình
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,Giá tốt sản phẩm đẹp chất lượng
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,Máy êm Giặt sạch giá rất hợp lý
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,Tốt Sản phẩm đúng mô tả
0,Máy giặt Toshiba Inverter 8.5 Kg TW-BH95S2V WK ,5999000,131,Toshiba,RxSxC 595 x 53 x 85 cm,Cửa trước,68,Máy êm giặt sạch cho 5 sao
