,index,name,number_of_comment,brand,Negative,Positive,price,volume(l),number_of_door,rank_point,rank
46,46,Tủ lạnh Toshiba Inverter 194 lít GR-A25VM (UKG) - Hàng chính hãng ,17,Toshiba,0.3965756393049653,0.6034243606950346,4999000.0,196.25,2.0,10.258214131815588,277
47,47,Tủ Lạnh Side By Side Inverter Samsung RS62R5001M9/SV (647L) - Hàng Chính Hãng ,8,Samsung,0.20688190561099293,0.793118094389007,17390000.0,680.0,2.75,6.344944755112056,36
48,48,Tủ lạnh Electrolux Inverter 337 lít EME3700H-H ,13,Electrolux,0.18279453797359257,0.8172054620264072,10890000.0,373.25,3.0,10.623671006343294,226
49,49,Tủ Lạnh Inverter Toshiba GR-A28VS-DS (233L) - Hàng chính hãng ,3,Toshiba,0.18789027739743117,0.8121097226025688,4599000.0,225.75,2.0,2.436329167807706,217
50,50,Tủ lạnh Electrolux Inverter 335 lít EME3700H-A ,10,Electrolux,0.3527120882077838,0.6472879117922161,10390000.0,358.5,3.0,6.472879117922162,186
51,51,Tủ lạnh Funiki Hòa Phát FR 135CD 130 lít - Hàng Chính Hãng ,6,Hòa Phát,0.28510685216230375,0.7148931478376962,3299000.0,134.25,1.75,4.289358887026177,259
52,52,Tủ lạnh mini 2 chế độ nóng lạnh 10 lít  ,3,OEM,0.1692220255207032,0.8307779744792967,1017000.0,51.0,1.0,2.49233392343789,271
53,53,Tủ Lạnh Inverter Mitsubishi MR-CX46EJ (358L) - Hàng chính hãng ,8,Mitsubishi,0.2903547332553012,0.7096452667446987,13249000.0,360.0,3.0,5.67716213395759,171
54,54,Tủ lạnh Electrolux 46L EUM0500SB ,13,Electrolux,0.29244382291496956,0.7075561770850306,2380000.0,52.0,1.0,9.198230302105397,284
55,55,Tủ Lạnh Inverter LG GN-D255PS (255L) – Hàng Chính Hãng ,6,LG,0.11341257792919378,0.8865874220708062,6990000.0,284.25,2.0,5.319524532424837,219
56,56,Tủ lạnh Electrolux Inverter 337 lít EME3700H-H ,9,Electrolux,0.22217911766262455,0.7778208823373753,10990000.0,337.0,3.0,7.000387941036378,212
57,57,Tủ Lạnh Inverter Mitsubishi MR-V50EH-BRW (414L) - Hàng chính hãng ,12,Mitsubishi,0.2430813949984921,0.756918605001508,12539000.0,387.75,3.0,9.083023260018095,208
58,58,Tủ lạnh Aqua Inverter 510 lít AQR-I565AS BS ,1,Aqua,0.15121122376086124,0.8487887762391386,15490000.0,588.0,180.75,0.8487887762391386,9
59,59,Tủ Lạnh Inverter Electrolux ETB3700H-A (350L) - Hàng chính hãng ,7,Electrolux,0.2378531649108447,0.7621468350891554,7790000.0,309.0,2.0,5.335027845624087,206
60,60,TỦ LẠNH NGĂN ĐÁ TRÊN TOSHIBA 180 LÍT B22VP SS -Hàng Chính Hãng ,2,Toshiba,0.09095523255347733,0.9090447674465227,3939000.0,161.75,2.0,1.8180895348930455,230
61,61,Tủ lạnh Panasonic Inverter 368 lít NR-BX410WKVN - HÀNG CHÍNH HÃNG ,7,Panasonic,0.259608329635574,0.7403916703644259,14790000.0,368.0,2.0,5.182741692550981,164
62,62,Tủ Lạnh Inverter LG GN-D422BL (393L) – Hàng Chính Hãng ,5,LG,0.16588472857854472,0.8341152714214554,9890000.0,427.0,2.0,4.170576357107277,119
63,63,Tủ lạnh LG Inverter 613 lít GR-B247JDS ,8,LG,0.17137614406595475,0.8286238559340451,15459000.0,679.0,2.0,6.628990847472361,37
64,64,Tủ lạnh Samsung Inverter 307 lít RB30N4170BU/SV - HÀNG CHÍNH HÃNG ,5,Samsung,0.126978324636343,0.8730216753636568,11390000.0,307.0,2.0,4.365108376818284,189
65,65,Tủ lạnh Sharp Inverter 315 lít SJ-X346E-DS ,19,Sharp,0.13214651634591157,0.8678534836540883,6409000.0,342.0,2.0,16.48921618942768,275
66,66,Tủ lạnh Sharp Inverter 315 lít SJ-X346E-DS ,23,Sharp,0.22877165229694355,0.7712283477030566,6399000.0,342.0,2.0,17.738251997170302,280
67,67,Tủ Lạnh Inverter Hitachi R-FW650PGV8-GBK (509L) - Hàng Chính Hãng ,1,Hitachi,0.05421237543061766,0.9457876245693825,18990000.0,509.0,3.5,0.9457876245693825,54
68,68,Tủ Lạnh Sharp Inverter 224 lít SJ-X251E-DS ,20,Sharp,0.20746371543831582,0.792536284561684,4810000.0,241.0,2.0,15.85072569123368,283
69,70,Tủ lạnh Samsung Inverter 280 lít RB27N4010S8/SV ,5,Samsung,0.30003636082325863,0.6999636391767414,8290000.0,280.0,2.0,3.499818195883707,194
70,72,Tủ lạnh Toshiba Inverter 180 lít GR-B22VU UKG ,19,Toshiba,0.3778867469103264,0.6221132530896737,4879000.0,214.75,2.0,11.8201518087038,279
71,73,Tủ Lạnh Inverter LG GR-B247WB (613L) - Hàng chính hãng - Chỉ giao tại HCM ,3,LG,0.38744368434630694,0.612556315653693,17090000.0,613.0,3.25,1.8376689469610787,24
72,74,Tủ lạnh Panasonic Inverter 255 lít NR-BV280QSVN ,5,Panasonic,0.20195292592386432,0.7980470740761358,8290000.0,306.5,2.0,3.990235370380679,184
