index,name,price,number_of_comment,pin,brand,front_cam,rear_cam,weight,RAM,screen_size,comment
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,vô cùng hài lòng sản phẩm rất tuyệt vời đóng gói rất kỹ và cẩn thận cảm ơn shop cảm ơn TỊKI nhiều nhé
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Giao hàng khá nhanh đóng gói sản phẩm cẩn thận Hàng nguyên seal đơn giản dễ sử dụng
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Máy giá rẻ  màu sắc đẹp  loa to  chuông hơi rè tí  font chữ không đều  thương hiệu Nokia thì bền rồi  xứng đáng tiêu chí Ngon Bổ Rẻ
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Nhẹ rẻ mới còn seal fpt Nhưng lắp ráp tệ 2 nắp trên dưới không bằng nhau lệch tạo cảm giác cầm nắm không thoải mái ở  cạnh bên
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Sản phẩm có màu hồng lạ giao sớm hơn dự kiến Nghe gọi tạm thời hiện giờ rất tốt
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Sản phẩm đẹp  đóng gói kỹ rất thích vì đã mua nhiều sản phẩm từ TIKI nên rất an tâm về chất lượng sản phẩm 
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Máy ok đẹp nhưng có ứng dụng rác ko xoá được dịch vụ giao hàng tiki tốt nhanh đóng gói cẩn thận
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,Đặt cái màu xanh lại giao cái màu đen nhưng mà cũng không sao shop nên cẩn thận hơn trong việc gói hàng
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,pin dù không nghe gọi vẫn chỉ dùng được 1 ngày gửi bảo hành gần 3 tuần trả về vẫn y chang nãn đừng mua
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,350000,324,800 mAh,Nokia,,,73g,,1.77 inch,đong goi chăc chăn giao hang thân thiên mua đc gia tôt cam ơn shop se ung hô lâu dai
