index,name,price,number_of_comment,brand,size,weight,camera,comment
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Cực kì hài lòng
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Cực kì hài lòng
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Cực kì hài lòng
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Cực kì hài lòng
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Cực kì hài lòng
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Cực kì hài lòng
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Cực kì hài lòng
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Cực kì hài lòng
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Mình là nghiệp dư Quyết định mua em này vì đọc thấy review khá ổn trên tiki Tiki giao hàng sớm hơn dự kiến 1 ngày nên mình chưa kịp chuẩn bị để nhận hàng phải nhận ở chỗ khác nên phải quay clip đồng kiểm Thái độ bạn giao hàng rất tốt Máy đủ phụ kiện và quà như trong mô tả
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Máy móc phụ kiện thì đầy đủ và mới nhưng mình mua 269 đầu tháng 210 mới nhận được hàng mà cái thẻ bảo hành nó lại ghi 82020 tức là mình bị mất không 2 tháng bảo hành  Còn chưa kể đến vc giao hàng quá lâu không chấp nhận được Giá thì ngon đấy nhưng xem xét thời gian bỏ ra chờ đợi với vc mất đi 2 tháng bảo hành thì cũng coi như hòa 
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Đóng gói chắc chắn kèm thẻ bảo hành và túi đựng đầy đủ Điểm trừ Thẻ BH hết hạn tháng 22021 như vậy mình bị hụt mất 3 tháng bảo hành nhận hàng tháng 52019
1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,7290000,63,Canon,,Khoảng 436g  1538oz Bao gồm pin và thẻ nhớKhoảng 389g  1372oz Chỉ tính thân máy,,Giao hàng nhanh chóng đóng gói cẩn thận máy đẹp nhưng thời hạn bảo hành bị hụt mất 3 tháng trên thông tin có ghi phụ kiện kèm theo là có dây cap nhưng khi nhận thì không có dây cap các phụ kiện khác thì đầy đủ được tặng kèm túy đựng và thẻ nhớ  túy đựng thì đã nhận đk với lúc nhận máy luôn nhưng thẻ nhớ thì 1 tuần rồi chưa nhận được Nói chung thì mua hàng trên tiki vẫn thấy ổn hơn mấy chỗ khác vẫn sẽ uổng hộ dài dài
