,index,name,brand,price,number_of_comment,weight(g),camera(mp),Negative,Positive,rank
64,64,Máy Ảnh Canon IXUS 185 (Lê Bảo Minh) - Đen - Hàng Chính Hãng,Canon,2290000.0,15.0,199.2,90.2,0.3974464801729258,0.6025535198270743,183
65,65,Máy chụp ảnh cao cấp mini dành cho bé yêu tặng kèm thẻ nhớ 32G - Hàng nhập khẩu,OLAPLE,399000.0,0.0,305.4,90.2,0.5,0.5,130
66,66,Máy Ảnh Canon PowerShot G7 X Mark II - Hàng Nhập Khẩu,Canon,11790000.0,0.0,270.0,242.6,0.5,0.5,50
67,67,Máy Ảnh Sony Alpha A7R MARK III Body- Hàng chính hãng,Sony,59990000.0,2.0,657.0,314.0,0.335598405207301,0.664401594792699,28
68,68,Máy Ảnh Fujifilm XF10 - Hàng Chính Hãng,Fujifilm,11990000.0,2.0,273.2,234.4,0.19534310016819273,0.8046568998318072,49
69,69,Máy Ảnh Fujifilm X-T20 (24.3MP) Body - Hàng Chính Hãng,Fujifilm,16990000.0,5.0,475.8,186.0,0.3126968589622646,0.6873031410377355,161
70,70,Máy Ảnh Selfie Lấy Liền Fujifilm Instax Mini 70 - Vàng - Hàng Chính Hãng,Fujifilm,2690000.0,2.0,165.6,90.2,0.13407311726331808,0.865926882736682,120
71,71,Máy Ảnh Canon EOS R + Kit 24-105mm - Hàng Chính Hãng,Canon,65900000.0,0.0,660.0,314.0,0.5,0.5,7
72,72,Canon SX740 HS - Hàng Nhập Khẩu,Canon,8990000.0,4.0,395.0,242.6,0.3130426466160714,0.6869573533839286,127
73,73,Máy ảnh Canon EOS 90D Body + Lens 18-135mm - Hàng chính hãng,Canon,39900000.0,0.0,552.4,266.0,0.5,0.5,33
74,74,MÁY ẢNH NIKON D3500 KIT AF-P 18-55 VR (HÀNG NHẬP KHẨU),Nikon,9990000.0,5.0,326.2,242.6,0.5,0.5,163
75,75,Máy Ảnh Canon EOS 6D MARK II + Lens Canon 24-105mm F4L IS II USM - Hàng Chính Hãng,Canon,62690000.0,0.0,685.0,314.0,0.5,0.5,8
76,76,Máy ảnh Canon EOS 90D Body - Hàng chính hãng,Canon,28990000.0,0.0,382.2,196.4,0.5,0.5,89
77,77,Máy ảnh Canon PowerShot G7 X Mark III - Hàng Chính Hãng,Canon,18990000.0,0.0,303.0,186.2,0.5,0.5,100
78,78,Máy Ảnh Canon IXUS 185 - Hàng Chính Hãng - Đỏ,Canon,2490000.0,0.0,165.6,90.2,0.5,0.5,131
79,79,Máy Ảnh Canon 800D Body (Lê Bảo Minh) - Hàng Chính Hãng,Canon,17250000.0,0.0,532.0,194.4,0.5,0.5,98
80,80,Máy Ảnh Fujifilm X100F - Hàng Chính Hãng,Fujifilm,27990000.0,0.0,469.0,196.4,0.5,0.5,90
