index,name,price,number_of_comment,brand,CPU,hardware_size,RAM,resolution,display,comment
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Nếu có 0 mình sẽ vote Chăm sóc khách hàng quá kém thời gian phản hồi quá chậm   Chương trình rẻ hơn hoàn tiền nên dỡ ra cho đỡ mất mặt Khách hàng phản hồi về chính sách hoàn tiền vì Tiki bán giá cao hơn chỗ khác rất nhiều Nhưng mọi người biết Tiki xử lý như thế nào không  B1 thông báo tiếp nhận B2 để cho khách hàng chờ rất lâu chờ cho Mall khác nâng giá lên sau đó hạ giá của mình xuống thấp hơn rồi phản hồi lại khách hàng  B3 báo khách hàng chờ 72h nữa rồi xử lý tiếp Nếu có bình chọn chỗ nào chăm sóc khách hàng tệ nhất tiki đứng đầu 
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Máy gọn nhẹ mượt pin trâu Bàn phím ngon hơn mấy đời trước Loa ổn Tốc độ load app rất nhanh do ram và cpu đã cải tiến hơn nhiều Mở thử 1 file excel 5000 dòng và 1 file word 5mb trong chớp mắt Có điều chỉ có 2 cổng usb c nên hơi bất tiện Tóm lại đáng mua nếu là anh chị em văn phòng sử dụng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Giao hàng nhanh mình mua lúc giảm giá là khoảng 21tr9 máy chạy ổn mở 50 tab cùng lúc vẫn mượt nhưng máy siêu nóng và hết pin nhanh pin k dùng đc trên 10 tiếng như quảng cáo đâu nhé
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Máy nguyên seal giao hàng nhanh  Nhưng mới dùng được 3 tuần máy đã 2 lần bị kêu to treo và phải khởi động lại mới sử dụng được Máy bị nóng và Pin chỉ dùng được khoảng 6h thôi
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Máy xịn sò mua xong thì biết tin apple ra mac air 2020 sử dụng chip mới mà giá vẫn ko đổi Huhu
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,May nhạc nhỏ  2 lo 2 bên mà nhỏ xíu vậy mà quảng cáo MacBook 2020  am thanh tot cai gi cung tot  hic
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Đóng gói đẹp chắc chắn Vận chuyển cực nhanh Rất hài lòng về sp dịch vụ
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Mua cái quan tâm nhất bảo hành thì không active bảo hành điện tử được Phải làm sao nhỉ
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Máy chuẩn nguyên seal riêng giao hàng thì trễ đến 5 ngày đề nghị tiki xem lại việc này
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Hàng chuẩn nguyên seal giao nhanh Giá quá tốt 10 điểm nha TIKI Đóng gói rất kĩ
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Tiki giao hàng cực nhanh Máy mới đúng chính hãng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Mới mua về xài được 1 tháng thì chết nguồn sạc không vào
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Dùng ổn giao hàng chậm chăm sóc khách hàng kém 
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,đến giờ là ngon
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,giao nhanh giá tốt hỗ trợ tốt
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,hàng đẹp chuẩn
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Rất tốt
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Rất ổn
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Cực kì hài lòng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Tiki giao hàng cực nhanh Máy mới đúng chính hãng
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Mới mua về xài được 1 tháng thì chết nguồn sạc không vào
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Dùng ổn giao hàng chậm chăm sóc khách hàng kém 
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,đến giờ là ngon
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,giao nhanh giá tốt hỗ trợ tốt
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,hàng đẹp chuẩn
4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,24299000,51,Apple,,,,,,Rất tốt
