,index,name,number_of_comment,brand,Negative,Positive,price,pin(mAh),weight(g),screen_size(inch),rank_point,rank
73,78,Điện Thoại Di Động Forme L6 - Hàng Chính Hãng ,3,Forme,0.12626358253602293,0.8737364174639769,345000.0,1500.0,116.4,1.848,2.621209252391931,61
74,79,Điện thoại Forme M3  màn hình 2.4inch  pin 2700mAh - Hàng chính hãng ,4,Forme,0.1314845756677734,0.8685154243322265,320000.0,2700.0,200.0,2.022,3.474061697328906,80
75,80,Điện thoại di động COGO C39- Hàng Chính Hãng ,2,COGO,0.2089391175967908,0.791060882403209,250000.0,18000.0,129.0,2.022,1.582121764806418,90
76,81,Điện thoại THTphone A11 ,4,THT,0.12017658134507218,0.8798234186549277,299000.0,2180.0,172.6,2.022,3.519293674619711,74
77,84,Điện Thoại Suntek X9 - Hàng Chính Hãng ,7,Suntek,0.3328211003682148,0.6671788996317851,599000.0,16000.0,180.0,1.8,4.670252297422496,89
78,86,Điện Thoại Masstel Izi 109 - Hàng Chính Hãng ,9,Masstel,0.31487158623473394,0.6851284137652662,219000.0,800.0,114.0,1.77,6.166155723887396,30
79,87,Điện Thoại M-Power M22 - Hàng Chính Hãng ,3,M-Power,0.10334440944380836,0.8966555905561916,209000.0,800.0,68.0,1.77,2.689966771668575,37
80,88,Điện Thoại Masstel Fami 12 - Hàng Chính Hãng ,4,Masstel,0.1726898649444708,0.8273101350555292,499000.0,1000.0,125.0,1.77,3.3092405402221168,44
81,89,Điện Thoại M-Power M16 - Hàng Chính Hãng ,1,Suntek,0.36307908167202885,0.6369209183279712,199000.0,880.0,136.4,1.8960000000000001,0.6369209183279712,45
82,90,Điện Thoại Suntek X68 - Hàng Chính Hãng ,7,Suntek,0.3362376849581782,0.6637623150418218,419000.0,5.0,139.0,2.4,4.646336205292752,17
83,91,Điện Thoại Mobile Uiphone U2 (Đen) - Hàng Chính Hãng ,1,Suntek,0.36029972092785256,0.6397002790721473,399000.0,1.0,135.0,2.4,0.6397002790721473,20
84,92,Điện thoại Masstel Fami 1 - Hàng Chính Hãng ,1,Masstel,0.039775661305019104,0.9602243386949807,319000.0,800.0,144.2,2.028,0.9602243386949807,42
85,95,Điện Thoại Bavapen B52 - Hàng Chính Hãng ,8,Bavapen,0.3209463414215023,0.6790536585784976,430000.0,3500.0,110.0,2.8,5.432429268627981,82
86,96,Điện Thoại Di Động Forme L6 - Hàng Chính Hãng ,8,Forme,0.23087739710275235,0.7691226028972475,345000.0,1500.0,116.4,1.848,6.15298082317798,58
87,97,Điện thoại Masstel Fami 12 - Hàng Chính Hãng ,1,Masstel,0.8037715864295667,0.19622841357043344,389000.0,1000.0,147.0,2.2199999999999998,0.19622841357043344,53
88,101,Điện thoại Forme L03  màn hình 2.4inch  pin 3500mAh  loa nhạc to  font chữ lớn - Hàng chính hãng ,1,Forme,0.6425423134858252,0.35745768651417476,360000.0,3500.0,250.0,1.848,0.35745768651417476,84
89,102,Điện Thoại Di Động GSM Zono N105 - Hàng Nhập Khẩu ,13,Zono,0.3591738243178145,0.6408261756821855,349000.0,1000.0,116.4,1.8,8.330740283868412,35
