,index,name,number_of_comment,brand,Negative,Positive,price,pin,rear_cam,front_rear,weight,RAM,screen_size,rank_point,rank
54,54,Điện Thoại iPhone 11 Pro 256GB - Hàng Nhập Khẩu ,11,Apple,0.27612249341696293,0.7238775065830371,24700000.0,3.19,12.0,12.0,188.0,4.0,5.8,7.962652572413408,86
55,55,Điện Thoại iPhone 12 256GB - Hàng Chính Hãng ,12,Apple,0.2004259112188657,0.7995740887811342,26490000.0,3.6186249999999998,12.0,12.0,164.0,4.0,6.1,9.59488906537361,80
56,56,Điện Thoại OPPO RENO 4 (8GB/128GB) - Hàng Chính Hãng ,45,OPPO,0.1943702795951063,0.805629720404894,6990000.0,4.0,48.0,32.0,183.0,8.0,6.47,36.25333741822023,67
57,57,Điện Thoại iPhone XS Max 512GB - Hàng Nhập Khẩu ,5,Apple,0.10142732829124095,0.8985726717087591,19699000.0,3.3,12.0,7.0,208.0,4.0,6.5,4.492863358543795,85
58,58,Điện Thoại Samsung Galaxy Note 10 Plus (256GB/12GB) - Hàng Chính Hãng - Đã Kích Hoạt Bảo Hành Điện Tử ,134,Samsung,0.2539952732510093,0.7460047267489905,15990000.0,4.3,12.0,10.0,196.0,12.0,6.8,99.96463338436473,26
59,59,Điện Thoại iPhone 11 Pro 64GB - Hàng Nhập Khẩu ,8,Apple,0.15308373221120972,0.8469162677887904,22700000.0,3.19,24.0,12.0,188.0,6.0,5.0,6.775330142310323,101
60,60,Điện Thoại Vivo Y20s - Hàng Chính Hãng ,16,Vivo,0.1869145124524201,0.8130854875475798,4290000.0,5.0,13.0,8.0,192.0,6.0,6.5,13.009367800761277,68
61,61,Điện Thoại iPhone 8 Plus 128GB - Hàng Chính Hãng VN/A ,92,Apple,0.27053846322262937,0.7294615367773712,13290000.0,2.675,2.0,7.0,202.0,3.0,5.5,67.11046138351816,35
62,62,Điện Thoại Oppo A93 2020 (8GB/128GB) - Hàng Chính Hãng ,9,OPPO,0.15221120731123317,0.847788792688767,6990000.0,4.0,48.0,16.0,164.0,8.0,6.4,7.630099134198902,110
63,63,Điện Thoại Samsung Galaxy A71 (128GB/8GB) - Đã Kích Hoạt Bảo Hành Điện Tử - Hàng Chính Hãng ,34,Samsung,0.25889936342321807,0.7411006365767819,7590000.0,4.5,64.0,32.0,179.0,8.0,6.7,25.197421643610586,87
64,64,Điện Thoại Wiko View 3 Lite (2GB/32GB) - Hàng chính hãng ,45,WIKO,0.17648842316173805,0.823511576838262,1550000.0,4.0,12.0,5.0,250.0,2.0,5.86375,37.058020957721794,49
65,65,Điện Thoại Samsung Galaxy Note 10 (8GB/256GB) - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng ,44,Samsung,0.21912667718039022,0.78087332281961,13490000.0,3.5,12.0,10.0,168.0,8.0,6.2,34.35842620406284,52
66,66,Điện Thoại iPhone 11 Pro Max 256GB - Hàng Nhập Khẩu ,8,Apple,0.2423319660561971,0.757668033943803,29800000.0,3.19,12.0,12.0,188.0,6.0,6.5,6.061344271550424,90
67,67,Điện thoại Vsmart Aris (8GB/128GB) - Hàng Chính Hãng ,7,Vsmart,0.17976424402434274,0.8202357559756573,6790000.0,4.0,64.0,20.0,178.0,8.0,6.39,5.741650291829601,112
68,68,Điện Thoại Samsung Galaxy A21s - Hàng Chính Hãng ,14,Samsung,0.16082332602569682,0.839176673974303,4300000.0,5.0,48.0,13.0,192.0,3.0,6.5,11.748473435640241,82
69,69,Điện Thoại OPPO RENO 4 PRO (8GB/256GB) - Hàng Chính Hãng ,20,OPPO,0.16903711233567847,0.8309628876643215,10490000.0,4.0,48.0,32.0,172.0,8.0,6.55,16.61925775328643,107
70,70,Điện Thoại Mobell S47 - Hàng Chính Hãng ,37,Mobell,0.24247873984002205,0.7575212601599776,749000.0,2.75625,8.375,5.75,196.75,1.5,5.86375,28.02828662591917,58
71,71,Điện thoại Forme A77 màn hình 5inch Wifi 3G 2 sim - Hàng chính hãng ,7,Forme,0.09825480024512889,0.9017451997548712,649000.0,2.0,8.0,8.0,0.0,1.0,5.86375,6.312216398284098,92
72,72,Điện Thoại Realme C15 (4GB/64G) - Hàng Chính Hãng ,3,Realme,0.24044672813827703,0.7595532718617228,3490000.0,6.0,13.0,8.0,209.0,4.0,6.5,2.2786598155851685,77
73,73,Điện Thoại Realme C12 (3GB/32GB) - Hàng Chính Hãng ,9,Realme,0.13942308047311489,0.8605769195268852,2890000.0,6.0,13.0,5.0,200.0,3.0,6.5,7.7451922757419664,69
74,74,Điện thoại Vsmart Aris (6GB/64GB) - Hàng chính hãng ,2,Vsmart,0.10282328866104581,0.8971767113389542,5790000.0,4.0,64.0,20.0,178.0,6.0,6.39,1.7943534226779083,114
75,76,Điện Thoại iPhone 12 Mini 256GB - Hàng Chính Hãng ,5,Apple,0.4163564496232623,0.5836435503767378,23490000.0,3.608625,12.0,12.0,135.0,4.0,5.4,2.918217751883689,99
76,77,Điện Thoại iPhone 11 Pro Max (4GB/64GB) - Hàng Chính Hãng ,161,Apple,0.3277126897895725,0.6722873102104275,26950000.0,3.969,12.0,12.0,226.0,4.0,6.5,108.23825694387884,23
77,78,Điện thoại Bphone B86 - Hàng chính hãng ,17,Bphone,0.1562742432368269,0.8437257567631731,7192000.0,0.3,2.0,25.0,173.0,4.0,6.12625,14.343337864973943,106
78,79,Điện Thoại Blackberry Key2 LE (4GB/64GB) - Hàng Chính Hãng ,18,BlackBerry,0.3266945592479873,0.6733054407520127,6990000.0,3.0,13.0,8.0,156.0,4.0,4.5,12.119497933536229,78
79,80,Điện thoại Vsmart Star 4 (3GB/32GB) - Hàng chính hãng ,13,Vsmart,0.20047623484358787,0.7995237651564121,2280000.0,3.5,8.0,8.0,165.0,3.0,6.09,10.393808947033357,73
80,81,Điện thoại Vsmart Joy 4 (4GB/64GB)- Hàng chính hãng-màu xanh ngọc lam ,2,Vsmart,0.12558893462211518,0.8744110653778848,3270000.0,4.668749999999999,17.0,8.5,210.625,3.625,6.60375,1.7488221307557696,88
81,82,Điện Thoại iPhone XS Max 256GB - Hàng Nhập Khẩu ,14,Apple,0.3539628238189765,0.6460371761810235,20999000.0,3.4762500000000003,12.0,7.0,170.875,4.0,6.5,9.04452046653433,75
82,83,Điện thoại Vivo V20 - Hàng Chính Hãng ,2,Vivo,0.18538690152204879,0.8146130984779512,7490000.0,4.0,64.0,44.0,171.0,8.0,6.44,1.6292261969559023,120
83,84,Điện Thoại Xiaomi Mi 10T Pro 5G - Hàng Chính Hãng ,4,Xiaomi,0.19387034134225514,0.806129658657745,11490000.0,5.0,108.0,20.0,176.375,8.0,5.793749999999999,3.22451863463098,117
84,85,Điện Thoại Samsung Galaxy A31 (128GB/6GB) - Hàng Chính Hãng ,9,Samsung,0.1706455115526128,0.8293544884473874,5590000.0,0.5,48.0,20.0,185.0,6.0,6.4,7.464190396026487,115
85,86,Điện Thoại Realme 6I (4GB/128GB) - Hàng Chính Hãng ,11,Realme,0.17646474301782855,0.8235352569821714,3690000.0,5.0,48.0,16.0,199.0,4.0,6.5,9.058887826803886,97
86,87,Điện Thoại Nokia 3.4 - Hàng Chính Hãng ,1,Nokia,0.15099344306351561,0.8490065569364843,3090000.0,4.0,12.625,7.125,212.125,4.0,6.39,0.8490065569364843,93
87,88,Điện Thoại Smartphone DXD 20Pro Hàng Chính Hãng ,2,DXD,0.4137607862641969,0.586239213735803,1290000.0,3.13125,8.375,5.75,196.75,1.625,5.86375,1.172478427471606,96
88,89,Điện Thoại Vivo S1 Pro (8GB/128GB) - Hàng chính hãng ,49,Vivo,0.22034955267780776,0.7796504473221922,4990000.0,4.5,48.0,32.0,188.0,8.0,6.3,38.20287191878742,65
89,90,Điện Thoại Samsung Galaxy A80 (128GB/8GB) - Hàng Chính Hãng - Đã Kích Hoạt Bảo Hành Điện Tử ,6,Samsung,0.3321238627784547,0.6678761372215453,8490000.0,3.7,48.0,48.0,169.0,8.0,6.7,4.007256823329271,118
90,91,Máy Tính Bảng Samsung Galaxy Tab A8 8 T295 - Đã Kích Hoạt Bảo Hành - Hàng Chính Hãng ,26,Samsung,0.26081404813991166,0.7391859518600882,3290000.0,5.1,8.0,2.0,347.0,2.0,8.0,19.218834748362294,57
91,92,Điện Thoại Samsung Galaxy A31 (6GB/128GB) - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng ,28,Samsung,0.20570116627294585,0.7942988337270538,5590000.0,0.5,48.0,20.0,185.0,6.0,6.4,22.240367344357505,100
92,93,Điện Thoại DXD Smartphone 5S Hàng Chính Hãng ,5,DXD,0.20313279070302617,0.7968672092969739,1090000.0,2.75625,8.375,5.75,196.75,1.0,5.86375,3.984336046484869,89
93,95,Điện thoại Vsmart Bee 3-chính hãng 100%-màu xanh ,2,Vsmart,0.09491687315053157,0.9050831268494685,1440000.0,3.13125,8.375,5.75,196.75,1.625,5.86375,1.810166253698937,94
94,96,Điện thoại Vsmart Live 4 ,13,Vsmart,0.20459190935008204,0.7954080906499178,4360000.0,4.669375,33.25,13.25,193.625,5.0,6.4712499999999995,10.340305178448931,81
95,97,Ulefone Armor X ( chống nước chống va đập pin 5.000mAh ) hàng chính hãng ,22,Ulefone,0.23249557865313378,0.7675044213468661,2954000.0,5.0,13.25,7.875,189.75,3.375,6.405,16.885097269631054,64
96,98,Điện Thoại Samsung Galaxy A51 (6GB/128GB) - Hàng Chính Hãng ,161,Samsung,0.26856097838291426,0.7314390216170862,7380000.0,4.0,48.0,32.0,172.0,6.0,6.5,117.76168248035087,28
97,99,Điện Thoại iPhone SE 2020 (3GB/128GB) - Hàng Chính Hãng ,21,Apple,0.28809926304431926,0.7119007369556806,12490000.0,4.095000000000001,26.125,16.875,180.5,6.125,5.78125,14.949915476069291,79
98,100,Điện Thoại Samsung Galaxy A10s (32GB/2GB) - Hàng Chính Hãng - Đã Kích Hoạt Bảo Hành Điện Tử ,44,Samsung,0.31396629075611704,0.6860337092438833,2790000.0,4.0,13.0,8.0,168.0,2.0,6.2,30.185483206730865,53
99,102,Điện Thoại iPhone SE 128G ( 2020) - Hàng Nhập Khẩu ,6,Apple,0.22492943198435755,0.7750705680156423,11400000.0,3.495,31.75,13.25,175.25,5.5,5.793749999999999,4.650423408093854,108
100,105,Điện Thoại Samsung Galaxy A01 Core (16GB/1GB) - Hàng Chính Hãng - (Đã kích hoạt bảo hành điện tử) ,2,Samsung,0.45413194257262013,0.54586805742738,1790000.0,3.0,8.0,5.0,150.0,1.0,6.07625,1.09173611485476,95
101,106,Điện Thoại Wiko Y60 (1GB/16GB) - Hàng chính hãng ,8,WIKO,0.14740072105531943,0.8525992789446807,1190000.0,2.5,8.375,5.75,500.0,1.5,5.86375,6.8207942315574455,83
102,108,Điện Thoại iPhone 11 256GB - Hàng Nhập Khẩu ,4,Apple,0.24053750902849227,0.7594624909715076,19700000.0,3.11,24.0,12.0,194.0,4.0,6.0,3.0378499638860306,109
103,109,Điện Thoại Vivo Y12 (64GB/3GB) - Hàng Chính Hãng ,95,Vivo,0.1572581599846469,0.8427418400153545,2990000.0,5.0,13.0,8.0,189.75,3.0,6.405,80.06047480145867,32
104,111,Điện thoại Bphone B86s - Hàng chính hãng ,1,Bphone,0.5614676036034848,0.4385323963965153,7992000.0,0.3,48.25,31.0,200.0,4.0,6.48875,0.4385323963965153,121
105,112,Điện Thoại Huawei P30 Lite - Hàng Chính Hãng ,12,Huawei,0.4292459432483827,0.5707540567516174,5490000.0,4.3,24.0,32.0,159.0,6.0,6.15,6.849048681019409,111
106,113,Điện thoại di động Oukitel K7 Pro - Hàng Chính Hãng ,2,Oukitel,0.6607288209034101,0.33927117909658977,3990000.0,4.75,30.875,11.875,197.375,4.0,6.5,0.6785423581931795,105
107,114,Điện Thoại BlackBerry KEYone (Silver) - Hàng Chính Hãng ,42,BlackBerry,0.3295799289542228,0.6704200710457772,5790000.0,3.505,12.0,8.0,182.875,3.0,4.5,28.157642983922642,61
108,115,Điện Thoại iPhone SE 2020 (3GB/64GB) - Hàng Chính Hãng ,32,Apple,0.17699566165200092,0.8230043383479988,12500000.0,4.095000000000001,12.0,7.0,148.0,3.0,4.7,26.33613882713596,59
109,116,Điện Thoại Samsung Galaxy A7 (64GB/4GB) 2018 - Hàng Chính Hãng ,54,Samsung,0.27934429782300074,0.7206557021769995,6988000.0,3.3,24.0,24.0,169.625,4.0,6.0,38.91540791755797,60
110,118,Điện Thoại Itel A16 Plus - Hàng Chính Hãng ,3,Itel,0.09154135368231893,0.908458646317681,1190000.0,2.05,5.0,5.0,145.0,1.0,5.0,2.725375938953043,98
111,119,Điện Thoại BlackBerry KEYone Black Edition (Đen) - Hàng Chính Hãng ,33,BlackBerry,0.2833717950354787,0.7166282049645212,6190000.0,3.505,12.0,8.0,180.0,4.0,4.5,23.6487307638292,63
112,120,Điện Thoại Masstel Happy 10 - Hàng Chính Hãng ,9,Masstel,0.22542899322302037,0.7745710067769798,990000.0,2.0,5.0,5.0,196.75,2.0,5.0,6.971139060992818,84
113,121,Điện thoại Bphone 3 Pro - Hàng chính hãng ,1,Bphone,0.16044010650957952,0.8395598934904206,8491500.0,0.3,43.25,29.0,160.0,4.0,6.505,0.8395598934904206,119
114,123,Điện Thoại Samsung Galaxy A20s (32GB/3GB) - Hàng Chính Hãng - Đã Kích Hoạt Bảo Hành Điện Tử ,29,Samsung,0.21117542252086663,0.7888245774791335,3620000.0,4.0,13.0,8.0,196.125,3.0,6.5,22.875912746894873,62
115,124,Điện Thoại Oppo A12 (4GB/64GB) - Hàng Chính Hãng ,38,OPPO,0.187623855570682,0.8123761444293176,3090000.0,4.23,13.0,5.0,165.0,4.0,6.22,30.87029348831407,51
116,125,Điện thoại Oukitel WP2 chống nước chống va đập pin 10.000 mAh - Hàng chính hãng ,3,Oukitel,0.17644988371494266,0.8235501162850573,5790000.0,3.03875,38.0,19.5,182.875,5.625,5.9175,2.470650348855172,113
117,127,Điện Thoại Bphone 3 - Hàng Chính Hãng ,3,Bphone,0.18317256613139396,0.816827433868606,6990000.0,3.0,8.0,12.0,160.0,3.0,6.0,2.450482301605818,102
118,129,Điện Thoại Infinix HOT S (X521) - Hàng Chính Hãng ,3,Infinix,0.45584591662548,0.5441540833745199,2350000.0,3.0,13.0,8.0,140.0,2.0,5.2,1.6324622501235595,103
119,130,Điện thoại Black shark 3 (8GB/128GB) - Hàng QUỐC TẾ CHÍNH HÃNG ,1,Black Shark,0.47568062508873366,0.5243193749112663,14490000.0,4.72,3.0,20.0,222.0,8.0,6.0625,0.5243193749112663,104
120,136,Điện Thoại Oukitel K12 (RAM 6Gb/ROM 64GB PIN 10.000 mAh) - Hàng nhập khẩu ,1,Oukitel,0.3632067691114561,0.6367932308885439,6990000.0,1.0,31.875,23.5,169.625,5.625,6.0875,0.6367932308885439,116
