,index,name,brand,price,number_of_comment,hardware_size(GB),RAM(GB),display(inch),Negative,Positive,rank
32,32,Microsoft Surface Go 2 (Pentium Gold 4425Y/ 4GB/ 64GB/ 10.5-/ Platinum) - Hàng Nhập Khẩu ,Microsoft,12000000.0,1.0,64.0,4.0,10.5,0.19253147343980584,0.8074685265601941,238
33,33,Laptop Lenovo Ideapad S145-15API 81UT00F1VN (AMD R5-3500U/ 4GB DDR4 2400Mhz/ 512GB M.2 2280 PCIe/ 15.6 FHD/ Win10) - Hàng Chính Hãng ,Lenovo,11099000.0,5.0,512.0,4.0,15.6,0.3219249067389106,0.6780750932610894,98
34,34,Laptop Asus ExpertBook P2451FA-EK0261 (Core i5-10210U/ 8GB DDR4 2666MHz/ 256GB SSD PCIE G3X4/ 14 FHD/ DOS) - Hàng Chính Hãng ,Asus,15499000.0,5.0,256.0,8.0,14.0,0.171722929602768,0.8282770703972322,199
35,35,Laptop MSI Bravo 15 A4DCR-052VN (AMD R5-4600H/ 8GB DDR4 3200MHz/ 256GB SSD M.2 PCIE/ RX 5300M 3GB GDDR6/ 15.6 FHD IPS/ Win 10) - Hàng Chính Hãng ,MSI,18699000.0,3.0,256.0,8.0,15.6,0.1670865008110223,0.8329134991889777,181
36,36,Laptop DELL Inspiron 15 7501 X3MRY1 (Core i7-10750H/ 8GB/ 512GB SSD PCIe/ GTX 1650Ti 4GB GDDR6/ 15.6 FHD/ Win10) - Hàng Chính Hãng ,Dell,27869000.0,3.0,512.0,8.0,15.6,0.29396357010580404,0.7060364298941959,83
37,37,Laptop ASUS Zenbook UX434FLC-A6143T (Core i5-10210U/ 8GB LPDDR3 2133MHz/ 512GB SSD M.2 PCIE/ MX250 2GB/ 14 FHD IPS/ Win10) - Hàng Chính Hãng ,Asus,24599000.0,0.0,512.0,8.0,14.0,0.5,0.5,44
38,38,Laptop Acer Aspire 3 A315-56-37DV NX.HS5SV.001 (Core i3-1005G1/ 4GB RAM/ 256GB SSD/ 15 FHD/ Win10) - Hàng Chính Hãng ,Acer,9490000.0,1.0,205.0,256.0,15.6,0.14995900680293864,0.8500409931970615,3
39,39,Laptop Asus ZenBook UX425EA-BM066T (Core i5-1135G7/ 8GB LPDDR4X 3200MHz/ 512GB SSD M.2 PCIE G3X2/ 14 FHD IPS/ Win10) - Hàng Chính Hãng ,Asus,21699000.0,0.0,512.0,8.0,14.0,0.5,0.5,45
40,40,Laptop Lenovo V14-IIL 82C400W3VN (Core i5-1035G1/ 4GB DDR4 2666Mhz/ 256GB M.2 2242 PCIe NVMe/ 14 HD/ Dos) - Hàng Chính Hãng ,Lenovo,11029000.0,0.0,256.0,4.0,14.0,0.5,0.5,164
41,41,Microsoft Surface Pro 7 (12.3/ i3-1005G1/ 4GB/ 128GB/ With Type Cover/ Platinum) - Hàng Nhập Khẩu ,Microsoft,18899000.0,0.0,128.0,4.0,12.3,0.5,0.5,214
42,42,Laptop Asus Vivobook D409DA-EK152T (AMD R5-3500U/ 4GB DDR4 2400MHz/ 256GB SSD M.2 PCIE/ 14 FHD/ Win10) - Hàng Chính Hãng ,Asus,11990000.0,11.0,256.0,4.0,14.0,0.17420809595410267,0.8257919040458975,208
43,43,Laptop Asus Vivobook A512DA-EJ422T AMD R5-3500U/Win10 (15.6 FHD) - Hàng Chính Hãng ,Asus,14190000.0,21.0,512.0,8.0,15.6,0.24063607326488237,0.7593639267351177,117
44,44,Laptop Asus Vivobook A512DA-EJ829T (AMD Ryzen 3-3200U/ 4GB DDR4 2400MHz/ 512GB SSD M.2 PCIE G3X2/ 15.6 FHD/ Win10) - Hàng Chính Hãng ,Asus,10799000.0,4.0,512.0,4.0,15.6,0.13120178974404795,0.868798210255952,101
45,45,"Laptop ASUS TUF Gaming A17 FA706II-H7125T (AMD Ryzen R5-4600H/ 8GB DDR4 3200MHz/ 512GB SSD M.2 PCIE G3X2  1x slot SATA3 2.5""/ GTX 1650Ti 4GB/ 17.3 FHD IPS  120Hz/ Win10) - Hàng Chính Hãng ",Asus,20799000.0,1.0,512.0,8.0,17.3,0.27874401839456375,0.7212559816054362,71
46,46,Laptop Asus Vivobook 15 A512FA-EJ2006T (Core i3-10110U/ 4GB DDR4 2400MHz/ 256GB SSD M.2 PCIE G3X2/ 15.6 FHD/ Win10) - Hàng Chính Hãng ,Asus,11790000.0,1.0,256.0,4.0,15.6,0.160303263346306,0.8396967366536938,185
47,47,Laptop Dell Vostro 3591 GTNHJ1 (Core i5-1035G1/ 8GB RAM/ 256GB SSD/ 15.6 FHD/ Win10) - Hàng Chính Hãng ,Dell,14199000.0,4.0,256.0,8.0,15.6,0.2231840892147593,0.7768159107852407,180
48,48,Laptop Asus VivoBook 14 A415EA-EB358T (Core i3-1115G4/ 4GB LPDDR4x 3733MHz Onboard/ 256GB SSD M.2 PCIE G3X4/ 14 FHD/ Win10) - Hàng Chính Hãng ,Asus,12000000.0,4.0,256.0,4.0,14.0,0.1424188201696743,0.8575811798303258,202
49,49,Laptop HP Pavilion x360 14-dw0063TU 19D54PA 9Core i7-1065G7/ 8GB DDR4 3200MHz/ 512GB PCIe NVMe/ 14 FHD IPS Touch/ Win10) - Hàng Chính Hãng ,HP,20290000.0,6.0,512.0,8.0,14.0,0.13381046771492464,0.8661895322850754,106
50,50,Laptop ASUS ROG Strix G15 G512-IAL001T (Core i7-10750H/ 8GB DDR4 3200MHz/ 512GB SSD PCIE G3X4/ GTX 1650Ti 4GB GDDR6/ 15.6 FHD IPS  144Hz/ Win10) - Hàng Chính Hãng ,Asus,26999000.0,1.0,512.0,8.0,15.6,0.029000782780036108,0.9709992172199639,91
51,51,Laptop Dell Inspiron 5391 N3I3001W (Core i3-10110U/ 4GB/ 128GBSSD/ 13.3 FHD/ Win10) - Hàng Chính Hãng ,Dell,13399000.0,3.0,128.0,4.0,13.3,0.04199794057082265,0.9580020594291775,221
52,52,Microsoft Surface Pro X (13/ SQ1TM/ 8GB/ 128GB SSD/ WiFi + 4G LTE/ Black) - Hàng Nhập Khẩu ,Microsoft,23200000.0,4.0,128.0,8.0,14.959999999999999,0.15166159005929655,0.8483384099407035,217
53,53,Apple iMac 2019 MRT32 21.5  4K - Nhập Khẩu Chính Hãng ,Apple,29499000.0,5.0,1.0,8.0,21.5,0.44183264356685303,0.558167356433147,224
54,54,Laptop Lenovo IdeaPad S145-15IIL 81W8001YVN (Core i5-1035G1/ 4GB DDR4 2400MHz/ 256GB SSD SATA/ 15.6 FHD/ Win10) - Hàng Chính Hãng ,Lenovo,12499000.0,1.0,256.0,4.0,14.5,0.32069320601998114,0.6793067939800188,177
55,55,Laptop Asus Vivobook D509DA-EJ286T (AMD Ryzen 5-3500U/ 4GB DDR4 2400MHz/ 256GB SSD M.2 PCIE/ 15.6 FHD/ Win10) - Hàng Chính Hãng ,Asus,11499000.0,8.0,256.0,4.0,15.6,0.2351105824213411,0.7648894175786589,204
56,56,Laptop ASUS VivoBook S15 S533JQ-BQ085T (Core i5-1035G1/ 8GB DDR4 2666MHz/ 512GB SSD M.2 PCIE G3X2/ MX350 2GB GDDR5/ 15.6 FHD IPS/ Win10) - Hàng Chính Hãng ,Asus,19199000.0,2.0,512.0,8.0,15.6,0.2650474738571923,0.7349525261428077,80
